Province,Dim1,Dim2,Cluster_KM
Bali,0.7282956890215612,0.1403181438829349,2
DKI Jakarta,-0.18150772187002434,0.9808335963418422,1
Jawa Barat,-0.02260312930807956,-0.07533391415965862,0
Jawa Tengah,-2.220446049250313e-16,-5.551115123125783e-17,0
Jawa Timur,0.6604009651716491,0.11225451510634799,2
Sumatera Selatan,0.0,0.0,0
