Province,Dim1,Dim2,Cluster_KM
Bali,0.03847099345735877,0.0464726884369302,0
DKI Jakarta,0.36023464538291294,0.056272438998376084,0
Jawa Barat,0.3490599832204781,0.0750568840107848,0
Jawa Tengah,-0.5396892201794128,0.11254487799675211,2
Jawa Timur,0.10090803430341065,0.9796059840413447,1
Sumatera Selatan,0.6674288166370475,-0.12940607585540448,0
