Province,Dim1,Dim2,Cluster_KM
Bali,-0.30197793697348324,-0.14001258151939824,2
DKI Jakarta,0.5772248877752159,-1.217847773696161,1
Jawa Barat,-0.1155931803763209,0.5786608306193142,0
Jawa Tengah,-0.18201019088605697,0.5709031023659494,0
Jawa Timur,-0.22737065408060503,0.44249386955213876,0
Sumatera Selatan,0.2497270745412502,-0.23419744732184317,2
