Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
42,MaxAbs,Isomap,cosine,56657,0.5375926097898723,0.31587540421006344,0.3796549076848406
46,MinMax,Isomap,euclidean,62101,0.23365126851899878,0.575336335185499,-0.05401689907375071
49,Standard,Spectral,euclidean,86962,0.3043384240579381,0.6502180546422618,-0.0207706032631928
50,MaxAbs,Spectral,euclidean,40938,0.3786589043079773,0.5782586011149501,0.08952960375050223
51,MaxAbs,Isomap,euclidean,65262,0.26319954278138175,0.5013465924021255,0.012526246580318978
52,MinMax,Spectral,correlation,15071,0.3631933951057272,0.27605118124946776,0.2251678044809933
58,MinMax,Spectral,euclidean,84041,0.4159077655074939,0.3922384324935775,0.21978854926070518
62,Robust,Spectral,manhattan,95060,0.3205120368394562,0.513701017033829,0.06366152832254174
63,Standard,MDS,cosine,68717,0.37429646941678113,0.43639190826387536,0.15610051528484345
64,MaxAbs,MDS,correlation,33817,0.5645760050830134,0.3083824949957739,0.4103847575851265
67,Robust,Isomap,manhattan,12586,0.1991917404628887,0.6115877154370639,-0.10660211725564325
69,MinMax,Isomap,euclidean,79717,0.39022426519241676,0.4253586711482988,0.17754492961826737
71,MaxAbs,Isomap,correlation,40353,0.5483334729552607,0.30441226084543954,0.3961273425325409
73,Standard,Isomap,euclidean,68803,0.23064427864328998,0.5848038273037082,-0.0617576350085641
74,Robust,Isomap,correlation,42272,0.649666332373992,0.18894318704174765,0.5551947388531181
75,MaxAbs,Isomap,euclidean,18661,0.32840664933357383,0.47310888556314173,0.09185220655200296
77,MaxAbs,Isomap,correlation,2377,0.5256013775032914,0.3708624280498179,0.34017016347838247
79,Standard,Spectral,euclidean,65411,0.6044509931208124,0.24146309590273532,0.48371944516944476
84,Standard,Isomap,euclidean,60172,0.3697724392470274,0.446516293169271,0.1465142926623919
86,Robust,Isomap,manhattan,60138,0.248825008454151,0.6789686671279321,-0.09065932510981506
88,Robust,Spectral,manhattan,30902,0.3386786956314129,0.5896788066935964,0.043839292284614695
89,MinMax,MDS,manhattan,11364,0.25468348796869816,0.5369509044743245,-0.013791964268464074
91,Robust,Isomap,correlation,84341,0.6696682040553247,0.1701703091025235,0.5845830495040629
94,Standard,Spectral,correlation,35175,0.3207810887202546,0.5238742067803434,0.05884398533008295
96,Standard,Spectral,euclidean,50010,0.4262174089106187,0.4665584243973595,0.19293819671193896
98,Robust,Spectral,euclidean,7561,0.2995080308441047,0.6088937948556533,-0.004938866583721946
99,MaxAbs,Isomap,cosine,59784,0.5375926097898723,0.31587540421006344,0.3796549076848406
100,Standard,MDS,euclidean,2861,0.2545964264830998,0.5496862005700748,-0.020246673801937565
101,Standard,Isomap,manhattan,63105,0.25666488189065984,0.6579121355302809,-0.07229118587448063
102,Robust,MDS,manhattan,18665,0.22064877087323018,0.5721913428893155,-0.06544690057142757
105,MaxAbs,Spectral,manhattan,98962,0.3118530098591907,0.6006377204396225,0.011534149639379432
106,MaxAbs,Spectral,cosine,66654,0.2930710520013517,0.5555018835596164,0.015320110221543504
107,MaxAbs,Isomap,correlation,98801,0.5256013775032914,0.3708624280498179,0.34017016347838247
108,Robust,Spectral,cosine,71770,0.5584414919707873,0.2717439073414236,0.4225695383000755
110,MaxAbs,MDS,manhattan,78655,0.26374704451031233,0.6069094762143803,-0.03970769359687781
111,MinMax,MDS,euclidean,69228,0.2601894625818666,0.5377627451384188,-0.008691909987342816
114,MinMax,MDS,manhattan,24125,0.25492129093766763,0.5362405417501516,-0.01319897993740815
116,MaxAbs,Isomap,euclidean,30732,0.26319954278138175,0.5013465924021255,0.012526246580318978
118,MaxAbs,Spectral,manhattan,35928,0.4584134981306194,0.4025512679216636,0.25713786416978757
121,Standard,MDS,cosine,7231,0.3738996813199582,0.43603921129002976,0.15588007567494333
122,MinMax,Spectral,correlation,2794,0.5559006772732965,0.3034058347271894,0.4041977599097018
123,MinMax,Isomap,cosine,44075,0.3834159963583554,0.47265400655293094,0.1470889930818899
124,Standard,MDS,manhattan,90307,0.2500961133071706,0.5430511506952356,-0.02142946204044721
125,MaxAbs,Isomap,manhattan,91977,0.2625424755238232,0.6064548441498699,-0.04068494655111177
127,Robust,Spectral,euclidean,74376,0.5620283156029767,0.3157077772409106,0.40417442698252143
131,MaxAbs,MDS,euclidean,11612,0.29437577382240204,0.4855865006516311,0.051582523496586485
132,MaxAbs,Isomap,correlation,28200,0.5256013775032914,0.3708624280498179,0.34017016347838247
133,MaxAbs,MDS,euclidean,97213,0.2932421938805051,0.4852049030129244,0.050639742374042895
134,Standard,MDS,correlation,44756,0.48980332454488446,0.27873874669685744,0.3504339511964557
135,Standard,MDS,cosine,41113,0.3787041190056561,0.4315417287314098,0.1629332546399512
136,Standard,Isomap,cosine,45237,0.32565302810051666,0.4703471889715865,0.09047943361472341
140,MinMax,Spectral,correlation,21446,0.3590324823724458,0.24297473516648962,0.23754511478920098
141,MaxAbs,MDS,euclidean,34127,0.2711368732760563,0.5960633941203614,-0.02689482378412439
143,MinMax,Isomap,correlation,53075,0.4206776736203374,0.3107726729325893,0.26529133715404274
144,MinMax,Spectral,manhattan,58297,0.5099833828484139,0.32830671661698874,0.34583002453991957
145,MinMax,Spectral,correlation,17424,0.2566368579625238,0.6041042643951532,-0.045415274235052816
146,Standard,Isomap,euclidean,21762,0.3697724392470274,0.446516293169271,0.1465142926623919
147,MaxAbs,MDS,correlation,8008,0.5478992782128674,0.3387525684119746,0.37852299400688016
148,Robust,Spectral,euclidean,86492,0.24712603832855193,0.6119821165836691,-0.05886501996328261
149,Robust,Spectral,manhattan,55780,0.4661988978961404,0.3593274245571861,0.2865351856175473
151,MaxAbs,Isomap,euclidean,91389,0.26319954278138175,0.5013465924021255,0.012526246580318978
152,Standard,MDS,correlation,98263,0.49228336510228327,0.2774481852185611,0.3535592724930027
153,MinMax,MDS,euclidean,79247,0.25846702258588,0.5381967402691076,-0.010631347548673786
154,Robust,Spectral,manhattan,89961,0.46221265531534467,0.5398177763418074,0.19230376714444097
155,Standard,MDS,cosine,76692,0.38197220912652097,0.42865357699853623,0.16764542062725285
157,MaxAbs,Isomap,correlation,2930,0.5256013775032914,0.3708624280498179,0.34017016347838247
158,Robust,Isomap,correlation,78575,0.6696682040553247,0.1701703091025235,0.5845830495040629
159,Robust,Spectral,correlation,5701,0.31694019310428784,0.5143019360414186,0.059789225083578534
160,Robust,Isomap,euclidean,94503,0.209514900000627,0.7553154015039946,-0.16814280075137028
167,Robust,Isomap,euclidean,45795,0.209514900000627,0.7553154015039946,-0.16814280075137028
170,Robust,Spectral,cosine,7910,0.4508982542501679,0.4295831766094608,0.23610666594543747
171,Robust,Isomap,cosine,67075,0.44683109692572315,0.4142315427067061,0.2397153255723701
173,Standard,Spectral,correlation,65332,0.47753009296359167,0.4426663006612359,0.2561969426329737
175,MinMax,Spectral,correlation,96338,0.38842577393244926,0.46756803918935724,0.15464175433777064
176,Standard,MDS,cosine,57576,0.3791365013850077,0.4308996419923328,0.1636866803888413
177,Robust,Isomap,cosine,43815,0.4312876549886548,0.4091170210479642,0.22672914446467268
178,Robust,Isomap,cosine,95689,0.4686229082924625,0.40895473357559853,0.26414554150466324
179,MinMax,Spectral,correlation,96380,0.38941573008364755,0.25140503565211175,0.2637132122575917
181,MinMax,MDS,correlation,35333,0.4485554111651062,0.3005556710463573,0.2982775756419276
182,Robust,Spectral,correlation,33648,0.5386546875226347,0.306486155269232,0.3854116098880187
184,Standard,Spectral,correlation,52887,0.42207896243335014,0.42274540004065014,0.21070626241302506
186,MinMax,MDS,cosine,60705,0.3896887810532057,0.47801266194171416,0.15068245008234862
188,Standard,Isomap,manhattan,27933,0.25666488189065984,0.6579121355302809,-0.07229118587448063
190,MaxAbs,Isomap,cosine,44846,0.5505677301235272,0.30375615578322174,0.3986896522319163
191,Standard,Spectral,manhattan,56452,0.467084194011417,0.3871965777598039,0.27348590513151505
192,MaxAbs,MDS,cosine,21397,0.5582199436225111,0.28968108665129294,0.4133794002968647
193,MaxAbs,MDS,euclidean,4884,0.2928090151880318,0.48300515137067324,0.0513064395026952
196,Standard,Spectral,euclidean,97415,0.3731885016745944,0.48448252899449945,0.13094723717734466
197,MaxAbs,Isomap,cosine,75924,0.5375926097898723,0.31587540421006344,0.3796549076848406
200,MinMax,Spectral,correlation,96468,0.23223703527150355,0.33978524799836346,0.06234441127232182
201,Standard,MDS,euclidean,30274,0.2546410755104095,0.549645453308094,-0.020181651143637513
